tvg-name,tvg-id,tvg-logo,group-title,link
测试88,CCTV1,https://livecdn.zbds.top/logo/CCTV1.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,CCTV1,https://livecdn.zbds.top/logo/CCTV1.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,CCTV1,https://livecdn.zbds.top/logo/CCTV1.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8
CCTV1,CCTV1,https://livecdn.zbds.top/logo/CCTV1.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226221/index.m3u8
CCTV1,CCTV1,https://livecdn.zbds.top/logo/CCTV1.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226225/index.m3u8
CCTV1,CCTV1,https://livecdn.zbds.top/logo/CCTV1.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/index.m3u8?fmt=ts2hls
CCTV2,CCTV2,https://livecdn.zbds.top/logo/CCTV2.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
CCTV2,CCTV2,https://livecdn.zbds.top/logo/CCTV2.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8
CCTV2,CCTV2,https://livecdn.zbds.top/logo/CCTV2.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225500/index.m3u8?fmt=ts2hls
CCTV3,CCTV3,https://livecdn.zbds.top/logo/CCTV3.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV3,CCTV3,https://livecdn.zbds.top/logo/CCTV3.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225634/index.m3u8
CCTV4,CCTV4,https://livecdn.zbds.top/logo/CCTV4.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV5,CCTV5,https://livecdn.zbds.top/logo/CCTV5.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8
CCTV5+,CCTV5+,https://livecdn.zbds.top/logo/CCTV5+.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8
CCTV5+,CCTV5+,https://livecdn.zbds.top/logo/CCTV5+.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225706/index.m3u8
CCTV6,CCTV6,https://livecdn.zbds.top/logo/CCTV6.png,央视频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225632/index.m3u8
